gene	Exp GCN	Exp RNA	kGin	kGac	kTCleak	kTCmaxs	kTCd	mRNA params
TP53	2	8	0.005	0.0005	0.0007247048	0.1	1.647056E-05	
MDM2	2	50	0.005	0.0005	0.01654648	0.1	6.016903E-05	
PPM1D	2	2	0.005	0.0005	0.0009540314	0.1	8.673013E-05	
ATM	2	3	0.005	0.0005	0.0002156772	0.1	1.307134E-05	
ATR	2	2	0.005	0.0005	0.0001935969	0.1	1.759972E-05	
RB1	2	10	0.005	0.0005	0.0002812902	0.1	3.008451E-05	
E2F1	2	0	0.005	0.0005	0.0004500643	0.1	4.813522E-05	
E2F2	2	1	0.005	0.0005	0.0007378104	0.1	7.89102E-05	
E2F3	2	2	0.005	0.0005	0.0007469947	0.1	7.989248E-05	
CCND1	2	6	0.005	0.0005	0.0004538279	0.1	0.000385	
CCND2	2	1	0.005	0.0005	7.562257E-05	0.1	0.000385	
CCND3	2	2	0.005	0.0005	0.0001512636	0.1	0.000385	
CCNE1	2	1	0.005	0.0005	0.01200172	0.1	0.0001283606	
CCNE2	2	2	0.005	0.0005	0.01200172	0.1	0.0001283606	
SKP2	2	2	0.005	0.0005	0.006383891	0.1	6.827691E-05	
CDC25A	2	1	0.005	0.0005	0.00486556	0.1	5.203808E-05	
CDC25B	2	1	0.005	0.0005	0.002066885	0.1	2.210573E-05	
CDC25C	3	10	0.005	0.0005	0.004858994	0.1	7.795177E-05	
CCNA2	2	5	0.005	0.0005	0.01200172	0.1	0.0001283606	
CDKN1B	2	2	0.005	0.0005	0.00837329	0.1	8.95539E-05	
CDH1	2	15	0.005	0.0005	0.002112978	0.1	2.25987E-05	
CCNB1	2	87	0.005	0.0005	0.01200172	0.1	0.0001283606	
CDC20	2	12	0.005	0.0005	0.002000286	0.1	2.139343E-05	
WEE1	2	7	0.005	0.0005	0.008109267	0.1	8.673013E-05	
CHEK1	2	10	0.005	0.0005	0.003061662	0.1	3.274505E-05	
CDKN1A	2	12	0.005	0.0005	0.01268336	0.1	0.0001925409	
CDK1	2	44	0.005	0.0005	0.005235381	0.1	2.163381E-05	
CDK2	2	2	0.005	0.0005	0.0004487182	0.1	4.079256E-05	
CDK4	2	11	0.005	0.0005	0.00111046	0.1	1.835471E-05	
CDK6	2	7	0.005	0.0005	0.001594156	0.1	4.140664E-05	
TNFSF10	2	0	0.005	0.0005	0	0	0	
TNFRSF10A	2	1	0.005	0.0005	0.0003383306	0.1	6.151466E-05	
TNFRSF10B	2	13	0.005	0.0005	0.004398298	0.1	6.151466E-05	
CFLAR	2	10	0.005	0.0005	0.002909272	0.1	5.289585E-05	
CASP8	2	8	0.005	0.0005	0.001433469	0.1	3.257883E-05	
CASP10	2	5	0.005	0.0005	0.0008959178	0.1	3.257883E-05	
BFAR	2	36	0.005	0.0005	0.01162289	0.1	5.870149E-05	
CASP3	2	13	0.005	0.0005	0.002195642	0.1	3.070827E-05	
CASP7	2	23	0.005	0.0005	0.003805691	0.1	3.008451E-05	
CASP6	2	27	0.005	0.0005	0.003387716	0.1	2.28129E-05	
XIAP	2	5	0.005	0.0005	0.00201326	0.1	7.320946E-05	
PARP1	4	21	0.005	0.0005	0.0006059529	0.1	1.049269E-05	
BID	2	15	0.005	0.0005	0.002525377	0.1	3.061063E-05	
BCL2	2	0	0.005	0.0005	0	0	7.02704E-05	
BCL2L1	2	3	0.005	0.0005	0.0005776227	0.1	3.500743E-05	
MCL1	3	21	0.005	0.0005	0.005930259	0.1	7.701635E-05	
BAX	2	3	0.005	0.0005	0.0003117688	0.1	1.889508E-05	
CYCS	2	92	0.005	0.0005	0.009860899	0.1	1.948794E-05	
DIABLO	2	9	0.005	0.0005	0.0006093845	0.1	1.23108E-05	
APAF1	2	2	0.005	0.0005	0.0003535809	0.1	3.214372E-05	
CASP9	2	2	0.005	0.0005	0.0003529916	0.1	3.209015E-05	
BAD	2	13	0.005	0.0005	0.001349674	0.1	1.887656E-05	
BBC3	2	1	0.005	0.0005	0.0004449474	0.1	8.089953E-05	
PMAIP1	2	4	0.005	0.0005	0.001817983	0.1	8.263557E-05	
BCL2L11	2	3	0.005	0.0005	0.00120157	0.1	8.263557E-05	
EGF	2	0	0.005	0.0005	0	0	1.925409E-05	
NRG1	2	0	0.005	0.0005	0	0	1.925409E-05	
EGFR	2	8	0.005	0.0005	0.0009669568	0.1	2.314193E-05	
ERBB2	2	4	0.005	0.0005	0.0003487022	0.1	1.818139E-05	
ERBB3	2	17	0.005	0.0005	0.001852738	0.1	2.036392E-05	
ERBB4	2	0	0.005	0.0005	0	0	2.036392E-05	
